,symboling,normalized_losses,make,body_style,drive_wheels,wheel_base,length,width,height,curb_weight,engine_type,num_of_cylinders,engine_size,fuel_system,bore,stroke,compression_ratio,horsepower,peak_rpm,city_mpg,highway_mpg,price,fueltype_gas,aspiration_turbo,num_of_doors_two,engine_location_rear
0,3,0.3787878787878788,0.0,5,2,0.0724637681159419,0.41343283582089585,0.3725490196078427,0.08333333333333348,0.41117145073700545,5,1,0.46621621621621623,1,3.47,2.68,0.125,0.4632352941176471,0.4594594594594592,0.22222222222222215,0.3548387096774194,16500,1,0,1,0
1,1,0.3787878787878788,0.0,2,2,0.2862318840579712,0.4492537313432834,0.5098039215686283,0.3833333333333333,0.5178432893716058,3,2,0.614864864864865,1,2.68,3.47,0.125,0.7794117647058824,0.4594594594594592,0.16666666666666669,0.32258064516129026,16500,1,0,1,0
2,2,0.75,0.047619047619047616,1,1,0.4782608695652173,0.5298507462686568,0.5784313725490202,0.5416666666666665,0.3293250581846392,1,1,0.32432432432432434,1,3.19,3.4,0.1875,0.3970588235294118,0.7297297297297294,0.3055555555555555,0.4516129032258065,13950,1,0,0,0
3,2,0.75,0.047619047619047616,1,3,0.46376811594202927,0.5298507462686568,0.598039215686275,0.5416666666666665,0.5182311869666407,1,3,0.5067567567567568,1,3.19,3.4,0.0625,0.49264705882352944,0.7297297297297294,0.1388888888888889,0.19354838709677424,17450,1,0,0,0
4,2,0.3787878787878788,0.047619047619047616,1,1,0.4782608695652173,0.5402985074626869,0.5882352941176476,0.4416666666666669,0.3952676493405741,1,3,0.5067567567567568,1,3.19,3.4,0.09375,0.4558823529411765,0.7297297297297294,0.16666666666666669,0.29032258064516125,15250,1,0,1,0
5,1,0.7045454545454546,0.047619047619047616,1,1,0.695652173913043,0.770149253731343,0.5098039215686283,0.6583333333333337,0.525989138867339,1,3,0.5067567567567568,1,3.19,3.4,0.09375,0.4558823529411765,0.7297297297297294,0.16666666666666669,0.29032258064516125,17710,1,0,0,0
6,1,0.3787878787878788,0.047619047619047616,3,1,0.695652173913043,0.770149253731343,0.5098039215686283,0.6583333333333337,0.5686578743211792,1,3,0.5067567567567568,1,3.19,3.4,0.09375,0.4558823529411765,0.7297297297297294,0.16666666666666669,0.29032258064516125,18920,1,0,0,0
7,1,0.7045454545454546,0.047619047619047616,1,1,0.695652173913043,0.770149253731343,0.5098039215686283,0.6750000000000003,0.6198603568657874,1,3,0.472972972972973,1,3.13,3.4,0.08125000000000004,0.676470588235294,0.7297297297297294,0.1111111111111111,0.12903225806451613,23875,1,1,0,0
8,2,0.9621212121212122,0.09523809523809523,1,2,0.5289855072463769,0.5328358208955226,0.4411764705882355,0.5416666666666665,0.35182311869666405,1,1,0.31756756756756765,1,3.5,2.8,0.11250000000000004,0.38970588235294124,0.8918918918918917,0.27777777777777773,0.4193548387096774,16430,1,0,1,0
9,0,0.9621212121212122,0.09523809523809523,1,2,0.5289855072463769,0.5328358208955226,0.4411764705882355,0.5416666666666665,0.35182311869666405,1,1,0.31756756756756765,1,3.5,2.8,0.11250000000000004,0.38970588235294124,0.8918918918918917,0.27777777777777773,0.4193548387096774,16925,1,0,0,0
10,0,0.9318181818181819,0.09523809523809523,1,2,0.5289855072463769,0.5328358208955226,0.4411764705882355,0.5416666666666665,0.474010861132661,1,2,0.6959459459459459,1,3.31,3.19,0.125,0.5367647058823529,0.054054054054053946,0.22222222222222215,0.3870967741935484,20970,1,0,1,0
11,0,0.9318181818181819,0.09523809523809523,1,2,0.5289855072463769,0.5328358208955226,0.4411764705882355,0.5416666666666665,0.495345228859581,1,2,0.6959459459459459,1,3.31,3.19,0.125,0.5367647058823529,0.054054054054053946,0.22222222222222215,0.3870967741935484,21105,1,0,0,0
12,1,0.3787878787878788,0.09523809523809523,1,2,0.61231884057971,0.7149253731343284,0.647058823529413,0.6583333333333337,0.6078355314197053,1,2,0.6959459459459459,1,3.31,3.19,0.125,0.5367647058823529,0.054054054054053946,0.19444444444444448,0.29032258064516125,24565,1,0,0,0
13,0,0.3787878787878788,0.09523809523809523,1,2,0.61231884057971,0.7149253731343284,0.647058823529413,0.6583333333333337,0.6757176105508145,1,2,1.0,1,3.62,3.39,0.0625,0.9852941176470588,0.6756756756756754,0.08333333333333331,0.19354838709677424,30760,1,0,0,0
